tipo,ordem,fc,fase_zero,rp,rs,rmse
ellip,3,900,True,0.1,60.0,0.3336208565225268
cheby2,7,1200,True,0.5,40.0,0.3337434664324215
cheby1,3,900,True,0.1,40.0,0.3337642540648806
cheby2,8,1100,True,0.5,40.0,0.33387870002114234
cheby2,6,1400,True,0.5,40.0,0.3340907150603821
cheby2,8,1000,True,0.5,40.0,0.3342050508658667
cheby2,5,1700,True,0.5,40.0,0.3342086458282962
cheby2,6,1200,True,0.5,30.0,0.33430642955891593
cheby2,2,3300,True,0.5,40.0,0.33438255889728935
cheby2,4,1300,True,0.5,30.0,0.3345549203981704
cheby2,5,1300,True,0.5,40.0,0.33477919429336983
cheby2,3,2900,True,0.5,60.0,0.334839997087047
cheby2,7,1400,True,0.5,50.0,0.3349852825892612
butter,2,1000,True,0.5,40.0,0.3350038950059074
cheby2,6,1300,True,0.5,50.0,0.33508684191029303
cheby2,7,1100,True,0.5,30.0,0.33518240765620366
butter,8,1100,True,0.5,40.0,0.3351969459371615
cheby2,7,1600,True,0.5,60.0,0.33527863289840254
cheby2,7,1300,True,0.5,60.0,0.3353076632776337
cheby2,3,2600,True,0.5,40.0,0.33543533206810755
cheby2,6,1900,True,0.5,60.0,0.33551358026045097
cheby2,3,2200,True,0.5,30.0,0.33554619511890543
butter,6,1200,True,0.5,40.0,0.3356495480987079
cheby2,8,1400,True,0.5,60.0,0.3356710983977873
cheby2,5,1500,True,0.5,30.0,0.33595832122908426
cheby2,4,2400,True,0.5,50.0,0.33605107977344945
cheby2,6,1700,True,0.5,50.0,0.3361446607668355
cheby2,5,2000,True,0.5,50.0,0.3362191001389109
cheby2,3,2100,True,0.5,40.0,0.33636577551955804
cheby2,6,1500,True,0.5,40.0,0.336614618619012
cheby2,4,2700,True,0.5,60.0,0.3367733221298223
cheby2,4,2100,True,0.5,40.0,0.33687343772351525
butter,2,1400,True,0.5,40.0,0.33698655310952774
cheby2,4,1800,True,0.5,30.0,0.3372158901530558
cheby2,8,1300,True,0.5,50.0,0.3372440666531984
cheby2,6,1300,True,0.5,30.0,0.337273757507298
cheby2,7,1300,True,0.5,40.0,0.33733620695276406
cheby2,5,1500,True,0.5,50.0,0.3373477903238727
butter,3,900,True,0.5,40.0,0.3374455726575229
butter,4,1300,True,0.5,40.0,0.3374556134681819
cheby2,7,1500,True,0.5,50.0,0.3375363442746613
butter,7,1200,True,0.5,40.0,0.33754265363133007
cheby2,7,1700,True,0.5,60.0,0.3377173286500961
